Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Furnished,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Terrace surface,Garden surface,Type of building,How many fireplaces?
20237286,549000€,2,212,,4,,2650,edegem,for-sale,house,house,15,80,All kind,
20237285,285000€,3,147,Semi equipped,3,No,4030,liege,for-sale,house,house,45,920,,
20237279,1690000€,4,291,,3,,8300,knokke-heist,for-sale,house,house,,,All kind,
20237276,175000€,2,145,Installed,3,,6030,charleroi,for-sale,house,house,,,,
20237275,417630€,3,173,,3,No,1760,roosdaal,for-sale,house,house,,,,
20237274,219000€,2,156,Installed,4,No,7110,houdeng-aimeries,for-sale,house,house,,,,
20004300,195000€,3,121,Installed,3,,6060,gilly,for-sale,house,house,,,,
11338371,299000€,4,145,Semi equipped,3,No,7090,braine-le-comte,for-sale,villa,house,,,,
20237272,329000€,3,166,Installed,3,No,5651,walcourt-tarcienne,for-sale,house,house,21,,,
20237266,445000€,4,160,Hyper equipped,4,No,3118,rotselaar,for-sale,house,house,50,600,,
20237265,465000€,4,268,Installed,6,,6760,virton,for-sale,house,house,45,200,,
20237264,419000€,2,250,Installed,4,No,1130,bruxelles,for-sale,house,house,73,170,,
20237263,785000€,4,154,Hyper equipped,4,No,1170,watermael-boitsfort,for-sale,house,house,,214,,
20237261,339000€,3,177,Semi equipped,4,No,1600,sint-pieters-leeuw,for-sale,house,house,,,,
20237257,370000€,3,125,Hyper equipped,3,,1330,rixensart,for-sale,house,house,30,,,
20237256,365000€,3,108,Installed,3,No,2550,kontich,for-sale,house,house,,40,,
20237255,275000€,4,175,,3,,2400,mol,for-sale,house,house,,,,
20117551,670000€,,346,,7,,9800,deinze,for-sale,house,house,,,,
20237245,420000€,2,150,Hyper equipped,4,No,1470,genappe,for-sale,house,house,20,60,,
20237241,199000€,3,107,Installed,3,No,5575,gedinne-rienne,for-sale,house,house,,1160,,
20237239,595000€,3,186,,3,No,2540,hove,for-sale,house,house,21,,,
20237238,189000€,2,140,Not installed,3,No,3740,bilzen,for-sale,house,house,,,,
